Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
NNI,"Nelnet, Inc.",47.16,2176467578,n/a,2003,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/nni
BXS,"BancorpSouth, Inc.",22.56,2172107369,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bxs
AEL,American Equity Investment Life Holding Company,28.12,2161793275,n/a,2003,Finance,Life Insurance,http://www.nasdaq.com/symbol/ael
HOMB,"Home BancShares, Inc.",31.91,2156346299,n/a,2006,Finance,Major Banks,http://www.nasdaq.com/symbol/homb
IBKC,IBERIABANK Corporation,63.98,2147218704,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ibkc
CATY,Cathay General Bancorp,26.47,2112870632,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/caty
RLI,RLI Corp.,48.54,2094009533,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/rli
WAFD,"Washington Federal, Inc.",21.1,2033691892,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/wafd
BGCP,"BGC Partners, Inc.",8.83,1955222520,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/bgcp
KMPR,Kemper Corporation,37.05,1921964526,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/kmpr
ALEX,"Alexander & Baldwin Holdings, Inc.",39.35,1918506928,n/a,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/alex
GBL,"Gamco Investors, Inc.",73.51,1898006368,n/a,1999,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/gbl
IBKR,"Interactive Brokers Group, Inc.",32.41,1895119199,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/ibkr
HTH,Hilltop Holdings Inc.,18.78,1883565077,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/hth
GBCI,"Glacier Bancorp, Inc.",25.02,1878639460,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/gbci
